,TeamCity,TeamName,Conference,PlayoffRank,WINS,LOSSES,Record,HOME,ROAD,L10,LongWinStreak,strCurrentStreak,ConferenceGamesBack,ClinchedPlayoffBirth,ClinchedPlayIn,EliminatedConference
0,Boston,Celtics,East,1,64,18,64-18,37-4 ,27-14,7-3  ,11,W 2,0.0,1,0,0
1,New York,Knicks,East,2,50,32,50-32,27-14,23-18,6-4  ,9,W 5,14.0,1,0,0
2,Milwaukee,Bucks,East,3,49,33,49-33,31-11,18-22,3-7  ,7,L 2,15.0,1,0,0
3,Cleveland,Cavaliers,East,4,48,34,48-34,26-15,22-19,4-6  ,9,L 1,16.0,1,0,0
4,Orlando,Magic,East,5,47,35,47-35,29-12,18-23,5-5  ,9,W 1,17.0,1,0,0
5,Indiana,Pacers,East,6,47,35,47-35,26-15,21-20,7-3  ,6,W 1,17.0,1,0,0
6,Philadelphia,76ers,East,7,47,35,47-35,25-16,22-19,8-2  ,8,W 8,17.0,0,1,0
7,Miami,Heat,East,8,46,36,46-36,22-19,24-17,7-3  ,7,W 2,18.0,0,1,0
8,Chicago,Bulls,East,9,39,43,39-43,20-21,19-22,5-5  ,4,L 1,25.0,0,1,0
9,Atlanta,Hawks,East,10,36,46,36-46,21-20,15-26,3-7  ,4,L 6,28.0,0,1,0
10,Brooklyn,Nets,East,11,32,50,32-50,20-21,12-29,5-5  ,3,L 2,32.0,0,0,1
11,Toronto,Raptors,East,12,25,57,25-57,14-27,11-30,2-8  ,3,L 4,39.0,0,0,1
12,Charlotte,Hornets,East,13,21,61,21-61,11-30,10-31,3-7  ,4,W 1,43.0,0,0,1
13,Washington,Wizards,East,14,15,67,15-67,7-34 ,8-33 ,1-9  ,3,L 6,49.0,0,0,1
14,Detroit,Pistons,East,15,14,68,14-68,7-33 ,7-35 ,2-8  ,2,L 1,50.0,0,0,1
