,TeamCity,TeamName,Conference,PlayoffRank,WINS,LOSSES,Record,HOME,ROAD,L10,LongWinStreak,strCurrentStreak,ConferenceGamesBack,ClinchedPlayoffBirth,ClinchedPlayIn,EliminatedConference
0,Oklahoma City,Thunder,West,1,57,25,57-25,33-8 ,24-17,7-3  ,6,W 5,0.0,1,0,0
1,Denver,Nuggets,West,2,57,25,57-25,33-8 ,24-17,6-4  ,6,W 1,0.0,1,0,0
2,Minnesota,Timberwolves,West,3,56,26,56-26,30-11,26-15,6-4  ,7,L 1,1.0,1,0,0
3,LA,Clippers,West,4,51,31,51-31,25-16,26-15,6-4  ,9,L 3,6.0,1,0,0
4,Dallas,Mavericks,West,5,50,32,50-32,25-16,25-16,7-3  ,7,L 2,7.0,1,0,0
5,Phoenix,Suns,West,6,49,33,49-33,25-16,24-17,7-3  ,7,W 3,8.0,1,0,0
6,New Orleans,Pelicans,West,7,49,33,49-33,21-19,28-14,5-5  ,4,L 1,8.0,0,1,0
7,Los Angeles,Lakers,West,8,47,35,47-35,28-14,19-21,7-3  ,5,W 2,10.0,0,1,0
8,Sacramento,Kings,West,9,46,36,46-36,24-17,22-19,4-6  ,6,W 1,11.0,0,1,0
9,Golden State,Warriors,West,10,46,36,46-36,21-20,25-16,8-2  ,6,W 1,11.0,0,1,0
10,Houston,Rockets,West,11,41,41,41-41,27-14,14-27,4-6  ,11,W 2,16.0,0,0,1
11,Utah,Jazz,West,12,31,51,31-51,21-20,10-31,2-8  ,6,L 1,26.0,0,0,1
12,Memphis,Grizzlies,West,13,27,55,27-55,9-32 ,18-23,3-7  ,4,L 5,30.0,0,0,1
13,San Antonio,Spurs,West,14,22,60,22-60,12-29,10-31,6-4  ,3,W 2,35.0,0,0,1
14,Portland,Trail Blazers,West,15,21,61,21-61,11-30,10-31,2-8  ,3,L 5,36.0,0,0,1
